code,name,value,correlation_cof,p_value,n,presentmentioned
ADP,white_middle_class_male,0.610467404332894,0.610467404332894,6.626605965693222e-42,13,Present
ADP,white_upper_class_male,0.7477849705272755,0.7477849705272755,2.950373143992969e-72,36,Present
AMB,black_enslaved_black_female,0.630004157952576,0.630004157952576,1.2717286377603114e-46,2,Present
AMB,black_enslaved_black_male,0.994738209660373,0.994738209660373,0,7,Present
AMB,white_indeterminable_male,0.5426034764077153,0.5426034764077153,1.0945432926511299e-32,2,Present
AMB,white_middle_class_male,0.8228639304694843,0.8228639304694843,5.9567398322332425e-102,13,Present
AMB,white_upper_class_female,0.633016488613765,0.633016488613765,3.4917362993188655e-47,13,Present
AMB,white_upper_class_male,1,1,0,36,Present
BAR,mixedblackindian_free_black_male,0.6019325222209091,0.6019325222209091,7.751152738834471e-26,1,Present
BAR,white_upper_class_male,0.9249347680827121,0.9249347680827121,2.522150566211987e-105,36,Present
BB,white_poor_white_male,0.9986779659195949,0.9986779659195949,0,8,Present
BE,black_free_black_female,0.5724425511465602,0.5724425511465602,7.790625368744134e-42,7,Present
BE,black_free_black_male,0.5698745735864379,0.5698745735864379,2.1439842298644866e-41,10,Present
BE,white_upper_class_male,0.9964458127741995,0.9964458127741995,0,36,Present
CB,black_free_black_male,0.7280209362565018,0.7280209362565018,2.802875146628084e-51,10,Present
CB,white_middle_class_male,0.7282722916806992,0.7282722916806992,2.491892585104304e-51,13,Present
CRT,indian_indian_tribal_leader_male,0.9662244467415702,0.9662244467415702,3.161646043463821e-126,2,Present
CRT,indian_indian_tribal_member_female,0.5540597130610901,0.5540597130610901,1.54801424949184e-18,1,Present
CRT,indian_indian_tribal_member_male,0.7937407295151281,0.7937407295151281,1.908461079966026e-47,3,Present
CRT,white_lower_class_male,0.8695619366061078,0.8695619366061078,1.390086030190332e-66,23,Present
DD,white_lower_class_male,0.8394857472068125,0.8394857472068125,8.221987979348283e-148,23,Present
DD,white_middle_class_male,0.9816577326485455,0.9816577326485455,0,13,Present
DD,white_upper_class_male,0.6703891575993164,0.6703891575993164,2.6887004235550295e-73,36,Present
DEL,black_free_black_male,0.5184737528121616,0.5184737528121616,1.560159435621606e-18,10,Present
DEL,white_upper_class_male,1,1,0,36,Present
DS,white_lower_class_male,0.5433961093666483,0.5433961093666483,1.160802078057329e-28,23,Present
DS,white_middle_class_female,0.6801423430392912,0.6801423430392912,1.5566276432520497e-49,6,Present
